generation,best_fitness,avg_fitness,max_gen_fitness,stagnation,mut_factor
1,51.80,7.96,51.80,0,1.00
1,74.24,49.57,74.24,0,1.00
2,216.72,10.29,216.72,0,1.00
3,216.72,0.00,0.00,1,1.00
4,216.72,0.00,0.00,2,1.00
5,216.72,0.00,0.00,3,1.00
6,216.72,0.00,0.00,4,1.00
7,216.72,0.00,0.00,5,1.00
8,216.72,0.00,0.00,6,1.00
9,216.72,0.00,0.00,7,1.00
10,216.72,0.00,0.00,8,1.50
11,216.72,0.00,0.00,9,2.00
12,216.72,0.00,0.00,10,2.50
13,216.72,0.00,0.00,11,3.00
14,216.72,0.00,0.00,12,3.50
15,216.72,0.00,0.00,13,4.00
16,216.72,0.00,0.00,14,4.00
17,216.72,0.00,0.00,15,4.00
18,216.72,0.00,0.00,16,4.00
19,216.72,0.00,0.00,17,4.00
20,216.72,0.00,0.00,18,4.00
21,216.72,0.00,0.00,19,4.00
22,216.72,0.00,0.00,20,4.00
23,216.72,0.00,0.00,21,4.00
24,216.72,0.00,0.00,22,4.00
25,216.72,0.00,0.00,23,4.00
26,216.72,0.00,0.00,24,4.00
27,216.72,0.00,0.00,25,4.00
28,216.72,0.00,0.00,26,4.00
29,216.72,0.00,0.00,27,4.00
30,216.72,0.00,0.00,28,4.00
31,216.72,0.00,0.00,29,4.00
32,216.72,0.00,0.00,30,4.00
33,216.72,0.00,0.00,31,4.00
34,216.72,0.00,0.00,32,4.00
35,216.72,0.00,0.00,33,4.00
36,216.72,0.00,0.00,34,4.00
37,216.72,0.00,0.00,35,4.00
38,216.72,0.00,0.00,36,4.00
39,216.72,0.00,0.00,37,4.00
40,216.72,0.00,0.00,38,4.00
41,216.72,0.00,0.00,39,4.00
42,216.72,0.00,0.00,40,4.00
43,216.72,0.00,0.00,41,4.00
44,216.72,0.00,0.00,42,4.00
45,216.72,0.00,0.00,43,4.00
46,216.72,0.00,0.00,44,4.00
47,216.72,0.00,0.00,45,4.00
48,216.72,0.00,0.00,46,4.00
49,216.72,0.00,0.00,47,4.00
50,216.72,0.00,0.00,48,4.00
51,216.72,0.00,0.00,49,4.00
52,216.72,0.00,0.00,50,4.00
53,216.72,0.00,0.00,51,4.00
54,216.72,0.00,0.00,52,4.00
55,216.72,0.00,0.00,53,4.00
56,216.72,0.00,0.00,54,4.00
57,216.72,0.00,0.00,55,4.00
58,216.72,0.00,0.00,56,4.00
59,216.72,0.00,0.00,57,4.00
60,216.72,0.00,0.00,58,4.00
61,216.72,0.00,0.00,59,4.00
62,216.72,0.00,0.00,60,4.00
63,216.72,0.00,0.00,61,4.00
64,216.72,0.00,0.00,62,4.00
65,216.72,0.00,0.00,63,4.00
66,216.72,0.00,0.00,64,4.00
67,216.72,0.00,0.00,65,4.00
68,216.72,0.00,0.00,66,4.00
69,216.72,0.00,0.00,67,4.00
70,216.72,0.00,0.00,68,4.00
71,216.72,0.00,0.00,69,4.00
72,216.72,0.00,0.00,70,4.00
73,216.72,0.00,0.00,71,4.00
74,216.72,0.00,0.00,72,4.00
75,216.72,0.00,0.00,73,4.00
76,216.72,0.00,0.00,74,4.00
77,216.72,0.00,0.00,75,4.00
78,216.72,0.00,0.00,76,4.00
79,216.72,0.00,0.00,77,4.00
80,216.72,0.00,0.00,78,4.00
81,216.72,0.00,0.00,79,4.00
82,216.72,0.00,0.00,80,4.00
83,216.72,0.00,0.00,81,4.00
84,216.72,0.00,0.00,82,4.00
85,216.72,0.00,0.00,83,4.00
86,216.72,0.00,0.00,84,4.00
87,216.72,0.00,0.00,85,4.00
88,216.72,0.00,0.00,86,4.00
89,216.72,0.00,0.00,87,4.00
90,216.72,0.00,0.00,88,4.00
91,216.72,0.00,0.00,89,4.00
92,216.72,0.00,0.00,90,4.00
93,216.72,0.00,0.00,91,4.00
94,216.72,0.00,0.00,92,4.00
95,216.72,0.00,0.00,93,4.00
96,216.72,0.00,0.00,94,4.00
97,216.72,0.00,0.00,95,4.00
98,216.72,0.00,0.00,96,4.00
99,216.72,0.00,0.00,97,4.00
100,216.72,0.00,0.00,98,4.00
101,216.72,0.00,0.00,99,4.00
102,216.72,0.00,0.00,100,4.00
103,216.72,0.00,0.00,101,4.00
104,216.72,0.00,0.00,102,4.00
105,216.72,0.00,0.00,103,4.00
106,216.72,0.00,0.00,104,4.00
